,Label,Predict,MSE,Euclidean Distance
0,"tensor([[-2.3970,  6.8410, -2.1630]])","tensor([[-0.9797,  5.1885, -0.5007]])",2.5009491443634033,2.7391321659088135
1,"tensor([[ 1.3870,  6.8650, -3.0280]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.933216571807861,3.847031831741333
2,"tensor([[ 0.9070,  6.5480, -3.6140]])","tensor([[-0.9797,  5.1885, -0.5007]])",5.033600807189941,3.8859751224517822
3,"tensor([[-0.2580,  5.0750, -1.2000]])","tensor([[-0.9793,  5.1865, -0.4982]])",0.34170910716056824,1.0124856233596802
4,"tensor([[ 0.7750,  4.3370, -0.7790]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.293852686882019,1.9701672792434692
5,"tensor([[-0.2580,  5.0750, -1.2000]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.34097960591316223,1.011404275894165
6,"tensor([[-1.0400,  5.7070, -1.8060]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.658804178237915,1.4058488607406616
7,"tensor([[-1.0400,  5.7070, -1.8060]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6588254570960999,1.4058716297149658
8,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7773314118385315,1.5270851850509644
9,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9789,  5.1864, -0.4982]])",0.8731555342674255,1.6184769868850708
10,"tensor([[ 0.9070,  6.5480, -3.6140]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.033583164215088,3.8859682083129883
11,"tensor([[-0.3930,  0.9490,  0.2780]])","tensor([[-0.9797,  5.1885, -0.5006]])",6.308014392852783,4.350176811218262
12,"tensor([[-2.3970,  6.8410, -2.1630]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.500922679901123,2.7391176223754883
13,"tensor([[ 2.1250,  6.4150, -2.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.726402759552002,3.7655296325683594
14,"tensor([[-1.6480,  4.5620, -0.2880]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.2947933077812195,0.9404135942459106
15,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.8711678981781006,1.6166340112686157
16,"tensor([[-0.2580,  5.0750, -1.2000]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.34094563126564026,1.011353850364685
17,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.77732914686203,1.527082920074463
18,"tensor([[ 2.1250,  6.4150, -2.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.726398468017578,3.7655277252197266
